ID,App,Workstream,Status,Priority,Phase,Target Window,Owner,Customer Outcome,Step-by-Step Tasks,Dependencies,Capability Keys,Usage Meters,Events,Artifacts,Acceptance Criteria,Verification,Evidence / Agent Notes,Research Basis,Competitive Angle,Risks / Controls
ELK-ORCA-PROD-010,Orca,Capability Registry,Proposed,P0,1 - Contracts And Boundaries,Week 1,Orca Agent,Customers can rely on capability registry as part of a governed Orca execution runtime.,Define the production contract for Capability Registry; implement or verify the runtime path; add synthetic fixtures and negative tests; document operator behavior; update this CSV row with evidence after verification.,Manifest; entitlement gateway,orca.*,orca.*.usage,orca.capability_registered,capability.registry,"Capability Registry is implemented, documented, tested, emits the expected events/artifacts, and cannot bypass approval, sandbox, audit, or standalone boundary rules.",npm run production:check,Pending implementation.,Coding agents and MCP runtimes require stable contracts and least-privilege boundaries.,"Orca competes on governed execution rather than broad, opaque autonomy.",Reject invalid contracts and deny unknown actions/tools by default.
ELK-ORCA-PROD-011,Orca,Usage Meters,Proposed,P0,1 - Contracts And Boundaries,Week 1,Orca Agent,Customers can rely on usage meters as part of a governed Orca execution runtime.,Define the production contract for Usage Meters; implement or verify the runtime path; add synthetic fixtures and negative tests; document operator behavior; update this CSV row with evidence after verification.,Capability Registry,orca.usage,orca.usage.usage,orca.usage_recorded,usage.meter,"Usage Meters is implemented, documented, tested, emits the expected events/artifacts, and cannot bypass approval, sandbox, audit, or standalone boundary rules.",Usage meter tests pass.,Pending implementation.,Coding agents and MCP runtimes require stable contracts and least-privilege boundaries.,"Orca competes on governed execution rather than broad, opaque autonomy.",Reject invalid contracts and deny unknown actions/tools by default.
ELK-ORCA-PROD-012,Orca,Agent Registry Schema,Proposed,P0,1 - Contracts And Boundaries,Week 1,Contracts Agent,Customers can rely on agent registry schema as part of a governed Orca execution runtime.,Define the production contract for Agent Registry Schema; implement or verify the runtime path; add synthetic fixtures and negative tests; document operator behavior; update this CSV row with evidence after verification.,Existing agents.json,orca.agents,orca.agents.usage,orca.agent_schema_updated,agent.schema,"Agent Registry Schema is implemented, documented, tested, emits the expected events/artifacts, and cannot bypass approval, sandbox, audit, or standalone boundary rules.",Agent schema fixture validation passes.,Pending implementation.,Coding agents and MCP runtimes require stable contracts and least-privilege boundaries.,"Orca competes on governed execution rather than broad, opaque autonomy.",Reject invalid contracts and deny unknown actions/tools by default.
ELK-ORCA-PROD-013,Orca,Session Run Schema,Proposed,P0,1 - Contracts And Boundaries,Week 1,Contracts Agent,Customers can rely on session run schema as part of a governed Orca execution runtime.,Define the production contract for Session Run Schema; implement or verify the runtime path; add synthetic fixtures and negative tests; document operator behavior; update this CSV row with evidence after verification.,OpenAPI service contract,orca.sessions; orca.runs,orca.sessions.usage; orca.runs.usage,orca.run_schema_updated,run.schema,"Session Run Schema is implemented, documented, tested, emits the expected events/artifacts, and cannot bypass approval, sandbox, audit, or standalone boundary rules.",Run schema tests pass.,Pending implementation.,Coding agents and MCP runtimes require stable contracts and least-privilege boundaries.,"Orca competes on governed execution rather than broad, opaque autonomy.",Reject invalid contracts and deny unknown actions/tools by default.
ELK-ORCA-PROD-014,Orca,Sandbox Profile Schema,Proposed,P0,1 - Contracts And Boundaries,Week 1,Security Agent,Customers can rely on sandbox profile schema as part of a governed Orca execution runtime.,Define the production contract for Sandbox Profile Schema; implement or verify the runtime path; add synthetic fixtures and negative tests; document operator behavior; update this CSV row with evidence after verification.,Action contract,orca.sandbox,orca.sandbox.usage,orca.sandbox_profile_updated,sandbox.profile,"Sandbox Profile Schema is implemented, documented, tested, emits the expected events/artifacts, and cannot bypass approval, sandbox, audit, or standalone boundary rules.",Sandbox schema tests pass.,Pending implementation.,Coding agents and MCP runtimes require stable contracts and least-privilege boundaries.,"Orca competes on governed execution rather than broad, opaque autonomy.",Reject invalid contracts and deny unknown actions/tools by default.
ELK-ORCA-PROD-015,Orca,Tool Policy Schema,Proposed,P0,1 - Contracts And Boundaries,Week 1,Security Agent,Customers can rely on tool policy schema as part of a governed Orca execution runtime.,Define the production contract for Tool Policy Schema; implement or verify the runtime path; add synthetic fixtures and negative tests; document operator behavior; update this CSV row with evidence after verification.,MCP schema; sandbox profile,orca.tools,orca.tools.usage,orca.tool_policy_updated,tool.policy,"Tool Policy Schema is implemented, documented, tested, emits the expected events/artifacts, and cannot bypass approval, sandbox, audit, or standalone boundary rules.",Tool policy fixture tests pass.,Pending implementation.,Coding agents and MCP runtimes require stable contracts and least-privilege boundaries.,"Orca competes on governed execution rather than broad, opaque autonomy.",Reject invalid contracts and deny unknown actions/tools by default.
ELK-ORCA-PROD-016,Orca,Boundary Policy,Proposed,P0,1 - Contracts And Boundaries,Week 1,Coordinator Agent,Customers can rely on boundary policy as part of a governed Orca execution runtime.,Define the production contract for Boundary Policy; implement or verify the runtime path; add synthetic fixtures and negative tests; document operator behavior; update this CSV row with evidence after verification.,Standalone app separation guide,orca.boundaries,orca.boundaries.usage,orca.boundary_policy_updated,boundary.policy,"Boundary Policy is implemented, documented, tested, emits the expected events/artifacts, and cannot bypass approval, sandbox, audit, or standalone boundary rules.",python3 scripts/check-app-boundaries.py,Pending implementation.,Coding agents and MCP runtimes require stable contracts and least-privilege boundaries.,"Orca competes on governed execution rather than broad, opaque autonomy.",Reject invalid contracts and deny unknown actions/tools by default.
ELK-ORCA-PROD-017,Orca,Baseline Runtime Audit,Proposed,P0,2 - CLI MCP Service Foundation,Week 1-2,Orca Agent,Customers can rely on baseline runtime audit as part of a governed Orca execution runtime.,Define the production contract for Baseline Runtime Audit; implement or verify the runtime path; add synthetic fixtures and negative tests; document operator behavior; update this CSV row with evidence after verification.,Existing Orca runtime,orca.health,orca.health.usage,orca.baseline_audited,baseline.report,"Baseline Runtime Audit is implemented, documented, tested, emits the expected events/artifacts, and cannot bypass approval, sandbox, audit, or standalone boundary rules.",cd elkhedr-orca && npm run manifest && npm test,Pending implementation.,"Terminal agents must be reliable, observable, and easy to install before autonomy.",A hardened CLI/MCP/service foundation makes Orca usable without Studio.,Default checks must remain resource efficient and never launch long autonomous loops.
ELK-ORCA-PROD-018,Orca,CLI Command Hardening,Proposed,P0,2 - CLI MCP Service Foundation,Week 1-2,Orca Agent,Customers can rely on cli command hardening as part of a governed Orca execution runtime.,Define the production contract for CLI Command Hardening; implement or verify the runtime path; add synthetic fixtures and negative tests; document operator behavior; update this CSV row with evidence after verification.,src/index.js; cli args,orca.cli,orca.cli.usage,orca.cli_hardened,cli.report,"CLI Command Hardening is implemented, documented, tested, emits the expected events/artifacts, and cannot bypass approval, sandbox, audit, or standalone boundary rules.",node --check src/index.js,Pending implementation.,"Terminal agents must be reliable, observable, and easy to install before autonomy.",A hardened CLI/MCP/service foundation makes Orca usable without Studio.,Default checks must remain resource efficient and never launch long autonomous loops.
ELK-ORCA-PROD-019,Orca,TUI Hardening,Proposed,P1,2 - CLI MCP Service Foundation,Week 1-2,Orca Agent,Customers can rely on tui hardening as part of a governed Orca execution runtime.,Define the production contract for TUI Hardening; implement or verify the runtime path; add synthetic fixtures and negative tests; document operator behavior; update this CSV row with evidence after verification.,src/tui.js,orca.tui,orca.tui.usage,orca.tui_hardened,tui.report,"TUI Hardening is implemented, documented, tested, emits the expected events/artifacts, and cannot bypass approval, sandbox, audit, or standalone boundary rules.",node --check src/tui.js where present,Pending implementation.,"Terminal agents must be reliable, observable, and easy to install before autonomy.",A hardened CLI/MCP/service foundation makes Orca usable without Studio.,Default checks must remain resource efficient and never launch long autonomous loops.
ELK-ORCA-PROD-020,Orca,Service Mode API Server,Proposed,P0,2 - CLI MCP Service Foundation,Week 1-2,Orca Agent,Customers can rely on service mode api server as part of a governed Orca execution runtime.,Define the production contract for Service Mode API Server; implement or verify the runtime path; add synthetic fixtures and negative tests; document operator behavior; update this CSV row with evidence after verification.,src/server/index.js; service routes,orca.service,orca.service.usage,orca.service_ready,service.report,"Service Mode API Server is implemented, documented, tested, emits the expected events/artifacts, and cannot bypass approval, sandbox, audit, or standalone boundary rules.",node --check src/server/index.js where present,Pending implementation.,"Terminal agents must be reliable, observable, and easy to install before autonomy.",A hardened CLI/MCP/service foundation makes Orca usable without Studio.,Default checks must remain resource efficient and never launch long autonomous loops.
ELK-ORCA-PROD-021,Orca,Service Status Endpoint,Proposed,P0,2 - CLI MCP Service Foundation,Week 1-2,Orca Agent,Customers can rely on service status endpoint as part of a governed Orca execution runtime.,Define the production contract for Service Status Endpoint; implement or verify the runtime path; add synthetic fixtures and negative tests; document operator behavior; update this CSV row with evidence after verification.,Service routes,orca.status,orca.status.usage,orca.status_checked,status.response,"Service Status Endpoint is implemented, documented, tested, emits the expected events/artifacts, and cannot bypass approval, sandbox, audit, or standalone boundary rules.",Parent compose full-smoke when Orca is running.,Pending implementation.,"Terminal agents must be reliable, observable, and easy to install before autonomy.",A hardened CLI/MCP/service foundation makes Orca usable without Studio.,Default checks must remain resource efficient and never launch long autonomous loops.
ELK-ORCA-PROD-022,Orca,Configuration Surface,Proposed,P0,2 - CLI MCP Service Foundation,Week 1-2,Orca Agent,Customers can rely on configuration surface as part of a governed Orca execution runtime.,Define the production contract for Configuration Surface; implement or verify the runtime path; add synthetic fixtures and negative tests; document operator behavior; update this CSV row with evidence after verification.,Config modules,orca.settings,orca.settings.usage,orca.config_updated,config.schema,"Configuration Surface is implemented, documented, tested, emits the expected events/artifacts, and cannot bypass approval, sandbox, audit, or standalone boundary rules.",Config tests pass.,Pending implementation.,"Terminal agents must be reliable, observable, and easy to install before autonomy.",A hardened CLI/MCP/service foundation makes Orca usable without Studio.,Default checks must remain resource efficient and never launch long autonomous loops.
ELK-ORCA-PROD-023,Orca,Data Directory Bootstrap,Proposed,P0,2 - CLI MCP Service Foundation,Week 1-2,Orca Agent,Customers can rely on data directory bootstrap as part of a governed Orca execution runtime.,Define the production contract for Data Directory Bootstrap; implement or verify the runtime path; add synthetic fixtures and negative tests; document operator behavior; update this CSV row with evidence after verification.,Configuration surface,orca.storage,orca.storage.usage,orca.store_initialized,storage.metadata,"Data Directory Bootstrap is implemented, documented, tested, emits the expected events/artifacts, and cannot bypass approval, sandbox, audit, or standalone boundary rules.",Run with temporary data dir and create a sample session.,Pending implementation.,"Terminal agents must be reliable, observable, and easy to install before autonomy.",A hardened CLI/MCP/service foundation makes Orca usable without Studio.,Default checks must remain resource efficient and never launch long autonomous loops.
ELK-ORCA-PROD-024,Orca,Database Migrations,Proposed,P0,2 - CLI MCP Service Foundation,Week 1-2,Orca Agent,Customers can rely on database migrations as part of a governed Orca execution runtime.,Define the production contract for Database Migrations; implement or verify the runtime path; add synthetic fixtures and negative tests; document operator behavior; update this CSV row with evidence after verification.,src/db migrations,orca.migrations,orca.migrations.usage,orca.store_migrated,migration.log,"Database Migrations is implemented, documented, tested, emits the expected events/artifacts, and cannot bypass approval, sandbox, audit, or standalone boundary rules.",npm run db:migrate:status and migration tests pass.,Pending implementation.,"Terminal agents must be reliable, observable, and easy to install before autonomy.",A hardened CLI/MCP/service foundation makes Orca usable without Studio.,Default checks must remain resource efficient and never launch long autonomous loops.
ELK-ORCA-PROD-025,Orca,Backup Restore,Proposed,P0,2 - CLI MCP Service Foundation,Week 1-2,Orca Agent,Customers can rely on backup restore as part of a governed Orca execution runtime.,Define the production contract for Backup Restore; implement or verify the runtime path; add synthetic fixtures and negative tests; document operator behavior; update this CSV row with evidence after verification.,Backup scripts,orca.backup,orca.backup.usage,orca.backup_created; orca.restore_completed,backup.pack,"Backup Restore is implemented, documented, tested, emits the expected events/artifacts, and cannot bypass approval, sandbox, audit, or standalone boundary rules.",Backup/restore tests pass.,Pending implementation.,"Terminal agents must be reliable, observable, and easy to install before autonomy.",A hardened CLI/MCP/service foundation makes Orca usable without Studio.,Default checks must remain resource efficient and never launch long autonomous loops.
ELK-ORCA-PROD-026,Orca,Install Script Hardening,Proposed,P0,2 - CLI MCP Service Foundation,Week 1-2,Security Agent,Customers can rely on install script hardening as part of a governed Orca execution runtime.,Define the production contract for Install Script Hardening; implement or verify the runtime path; add synthetic fixtures and negative tests; document operator behavior; update this CSV row with evidence after verification.,install.sh,orca.install,orca.install.usage,orca.install_checked,install.report,"Install Script Hardening is implemented, documented, tested, emits the expected events/artifacts, and cannot bypass approval, sandbox, audit, or standalone boundary rules.",bash -n install.sh,Pending implementation.,"Terminal agents must be reliable, observable, and easy to install before autonomy.",A hardened CLI/MCP/service foundation makes Orca usable without Studio.,Default checks must remain resource efficient and never launch long autonomous loops.
ELK-ORCA-PROD-027,Orca,Health Readiness Checks,Proposed,P0,2 - CLI MCP Service Foundation,Week 1-2,Orca Agent,Customers can rely on health readiness checks as part of a governed Orca execution runtime.,Define the production contract for Health Readiness Checks; implement or verify the runtime path; add synthetic fixtures and negative tests; document operator behavior; update this CSV row with evidence after verification.,Service status; config,orca.health,orca.health.usage,orca.health_checked,health.report,"Health Readiness Checks is implemented, documented, tested, emits the expected events/artifacts, and cannot bypass approval, sandbox, audit, or standalone boundary rules.",npm run health and service health tests pass.,Pending implementation.,"Terminal agents must be reliable, observable, and easy to install before autonomy.",A hardened CLI/MCP/service foundation makes Orca usable without Studio.,Default checks must remain resource efficient and never launch long autonomous loops.
ELK-ORCA-PROD-028,Orca,Logging Redaction,Proposed,P0,2 - CLI MCP Service Foundation,Week 1-2,Security Agent,Customers can rely on logging redaction as part of a governed Orca execution runtime.,Define the production contract for Logging Redaction; implement or verify the runtime path; add synthetic fixtures and negative tests; document operator behavior; update this CSV row with evidence after verification.,Logger utilities,orca.logs,orca.logs.usage,orca.log_redacted,support.log,"Logging Redaction is implemented, documented, tested, emits the expected events/artifacts, and cannot bypass approval, sandbox, audit, or standalone boundary rules.",Log redaction tests and sample inspection pass.,Pending implementation.,"Terminal agents must be reliable, observable, and easy to install before autonomy.",A hardened CLI/MCP/service foundation makes Orca usable without Studio.,Default checks must remain resource efficient and never launch long autonomous loops.
ELK-ORCA-PROD-029,Orca,Resource Modes,Proposed,P1,2 - CLI MCP Service Foundation,Week 1-2,Orca Agent,Customers can rely on resource modes as part of a governed Orca execution runtime.,Define the production contract for Resource Modes; implement or verify the runtime path; add synthetic fixtures and negative tests; document operator behavior; update this CSV row with evidence after verification.,README resource budgets,orca.resource_mode,orca.resource_mode.usage,orca.resource_mode_updated,resource.profile,"Resource Modes is implemented, documented, tested, emits the expected events/artifacts, and cannot bypass approval, sandbox, audit, or standalone boundary rules.",Docs and scripts reflect resource modes.,Pending implementation.,"Terminal agents must be reliable, observable, and easy to install before autonomy.",A hardened CLI/MCP/service foundation makes Orca usable without Studio.,Default checks must remain resource efficient and never launch long autonomous loops.
ELK-ORCA-PROD-030,Orca,Session Model,Proposed,P0,3 - Sessions Runs Agents,Week 3-4,Orca Agent,Customers can rely on session model as part of a governed Orca execution runtime.,Define the production contract for Session Model; implement or verify the runtime path; add synthetic fixtures and negative tests; document operator behavior; update this CSV row with evidence after verification.,Session schema,orca.sessions,orca.sessions.usage,orca.session_created,orca.session,"Session Model is implemented, documented, tested, emits the expected events/artifacts, and cannot bypass approval, sandbox, audit, or standalone boundary rules.",Session tests pass.,Pending implementation.,"Codex, Copilot, and Devin-style agents depend on durable background sessions and reviewable plans.","Orca can use multi-agent execution only where state, budget, and evidence are measurable.",No production run state should live only in memory or bypass checkpoints.
ELK-ORCA-PROD-031,Orca,Run State Machine,Proposed,P0,3 - Sessions Runs Agents,Week 3-4,Orca Agent,Customers can rely on run state machine as part of a governed Orca execution runtime.,Define the production contract for Run State Machine; implement or verify the runtime path; add synthetic fixtures and negative tests; document operator behavior; update this CSV row with evidence after verification.,Run schema,orca.runs,orca.runs.usage,orca.run_state_changed,orca.run,"Run State Machine is implemented, documented, tested, emits the expected events/artifacts, and cannot bypass approval, sandbox, audit, or standalone boundary rules.",Run state tests pass.,Pending implementation.,"Codex, Copilot, and Devin-style agents depend on durable background sessions and reviewable plans.","Orca can use multi-agent execution only where state, budget, and evidence are measurable.",No production run state should live only in memory or bypass checkpoints.
ELK-ORCA-PROD-032,Orca,Plan Generation,Proposed,P0,3 - Sessions Runs Agents,Week 3-4,Orca Agent,Customers can rely on plan generation as part of a governed Orca execution runtime.,Define the production contract for Plan Generation; implement or verify the runtime path; add synthetic fixtures and negative tests; document operator behavior; update this CSV row with evidence after verification.,Run state machine; model adapter,orca.planning,orca.planning.usage,orca.plan_created,orca.plan,"Plan Generation is implemented, documented, tested, emits the expected events/artifacts, and cannot bypass approval, sandbox, audit, or standalone boundary rules.",Plan tests with fake model pass.,Pending implementation.,"Codex, Copilot, and Devin-style agents depend on durable background sessions and reviewable plans.","Orca can use multi-agent execution only where state, budget, and evidence are measurable.",No production run state should live only in memory or bypass checkpoints.
ELK-ORCA-PROD-033,Orca,Task Decomposition,Proposed,P1,3 - Sessions Runs Agents,Week 3-4,Orca Agent,Customers can rely on task decomposition as part of a governed Orca execution runtime.,Define the production contract for Task Decomposition; implement or verify the runtime path; add synthetic fixtures and negative tests; document operator behavior; update this CSV row with evidence after verification.,Plan generation,orca.decomposition,orca.decomposition.usage,orca.task_decomposed,task.plan,"Task Decomposition is implemented, documented, tested, emits the expected events/artifacts, and cannot bypass approval, sandbox, audit, or standalone boundary rules.",Decomposition tests pass.,Pending implementation.,"Codex, Copilot, and Devin-style agents depend on durable background sessions and reviewable plans.","Orca can use multi-agent execution only where state, budget, and evidence are measurable.",No production run state should live only in memory or bypass checkpoints.
ELK-ORCA-PROD-034,Orca,Checkpoints,Proposed,P0,3 - Sessions Runs Agents,Week 3-4,Orca Agent,Customers can rely on checkpoints as part of a governed Orca execution runtime.,Define the production contract for Checkpoints; implement or verify the runtime path; add synthetic fixtures and negative tests; document operator behavior; update this CSV row with evidence after verification.,Run state machine; approvals,orca.checkpoints,orca.checkpoints.usage,orca.checkpoint_created,checkpoint.record,"Checkpoints is implemented, documented, tested, emits the expected events/artifacts, and cannot bypass approval, sandbox, audit, or standalone boundary rules.",Checkpoint tests pass.,Pending implementation.,"Codex, Copilot, and Devin-style agents depend on durable background sessions and reviewable plans.","Orca can use multi-agent execution only where state, budget, and evidence are measurable.",No production run state should live only in memory or bypass checkpoints.
ELK-ORCA-PROD-035,Orca,Agent Registry Runtime,Proposed,P0,3 - Sessions Runs Agents,Week 3-4,Orca Agent,Customers can rely on agent registry runtime as part of a governed Orca execution runtime.,Define the production contract for Agent Registry Runtime; implement or verify the runtime path; add synthetic fixtures and negative tests; document operator behavior; update this CSV row with evidence after verification.,Agent schema,orca.agents,orca.agents.usage,orca.agent_registry_loaded,agent.registry,"Agent Registry Runtime is implemented, documented, tested, emits the expected events/artifacts, and cannot bypass approval, sandbox, audit, or standalone boundary rules.",Agent registry tests pass.,Pending implementation.,"Codex, Copilot, and Devin-style agents depend on durable background sessions and reviewable plans.","Orca can use multi-agent execution only where state, budget, and evidence are measurable.",No production run state should live only in memory or bypass checkpoints.
ELK-ORCA-PROD-036,Orca,Model Routing Policy,Proposed,P0,3 - Sessions Runs Agents,Week 3-4,Orca Agent,Customers can rely on model routing policy as part of a governed Orca execution runtime.,Define the production contract for Model Routing Policy; implement or verify the runtime path; add synthetic fixtures and negative tests; document operator behavior; update this CSV row with evidence after verification.,Provider config; usage meters,orca.models,orca.models.usage,orca.model_routed,model.route,"Model Routing Policy is implemented, documented, tested, emits the expected events/artifacts, and cannot bypass approval, sandbox, audit, or standalone boundary rules.",Model routing tests pass.,Pending implementation.,"Codex, Copilot, and Devin-style agents depend on durable background sessions and reviewable plans.","Orca can use multi-agent execution only where state, budget, and evidence are measurable.",No production run state should live only in memory or bypass checkpoints.
ELK-ORCA-PROD-037,Orca,Fallback And Circuit Breakers,Proposed,P0,3 - Sessions Runs Agents,Week 3-4,Orca Agent,Customers can rely on fallback and circuit breakers as part of a governed Orca execution runtime.,Define the production contract for Fallback And Circuit Breakers; implement or verify the runtime path; add synthetic fixtures and negative tests; document operator behavior; update this CSV row with evidence after verification.,Existing circuit breaker utils,orca.resilience,orca.resilience.usage,orca.circuit_opened; orca.retry_scheduled,resilience.report,"Fallback And Circuit Breakers is implemented, documented, tested, emits the expected events/artifacts, and cannot bypass approval, sandbox, audit, or standalone boundary rules.",Resilience tests pass.,Pending implementation.,"Codex, Copilot, and Devin-style agents depend on durable background sessions and reviewable plans.","Orca can use multi-agent execution only where state, budget, and evidence are measurable.",No production run state should live only in memory or bypass checkpoints.
